STT,SO_DANG_KY,TEN_THUOC,"MA_HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Số đăng ký)",MA_DUONG_DUNG,DUONG_DUNG,HAM_LUONG,DONG_GOI,HANG_SX,NUOC_SX
362,VD-23307-15,Arginice,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
363,VD-23336-15,Arginine Stada,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1g/5ml,"Hộp 20 ống x 5ml, hộp 1 chai 125ml",Công ty TNHH LD Stada-Việt Nam.,Việt Nam
364,VD-5667-08,Argide - 200mg,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
365,VD-6548-08,Arginine Stada - 1gam,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1g,"hộp 20 ống x 5 ml, hộp 1 chai 125 ml dung dịch uống",Công ty liên doanh TNHH Stada Việt Nam,Việt Nam
366,VD-7553-09,Arginine OPV,40.743,Arginin hydroclorid,L(+) Arginin HCl,1.01,Uống,1mg,"Hộp 20 lọ x 5ml, chai 90ml dung dịch uống",Công ty cổ phần Dược phẩm OPV,Việt Nam
367,VD-7569-09,Opezimin,40.743,Arginin hydroclorid,L arginin HCl,1.01,Uống,1g/5ml,Hộp 20 lọ x 5ml; chai 90ml dung dịch uống,Công ty cổ phần Dược phẩm OPV,Việt Nam
368,VD-8035-09,Orgrinin 200 mg,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,"hộp 12 vỉ, 20 vỉ x 5 viên, hộp 3 vỉ, 6 vỉ, 10 vỉ, 30 vỉ, 50 vỉ x 10 viên, chai 100 viên, 250 viên, 500 viên nang mềm",Công ty cổ phần Dược phẩm Phương Đông,Việt Nam
369,VD-8175-09,Redliver-H,40.743,Arginin hydroclorid,L-Arginin hydroclorid,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
370,VD-8649-09,Ibaganin,40.743,Arginin hydroclorid,L Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược phẩm Hà Tây.,Việt Nam
371,VD-9169-09,Apharmincap,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên nang cứng,Xi nghiệp dươc phẩm 120-Công ty Dược và TTBYT Quân Đội,Việt Nam
372,VD-9177-09,Euformin,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 10 vỉ x 10 viên nang cứng,Xi nghiệp dươc phẩm 120-Công ty Dược và TTBYT Quân Đội,Việt Nam
373,VD-9381-09,Arginin - Euvipharm,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,1000mg,hộp 2 vỉ x 10 ống x 5 ml dung dịch uống,Công ty cổ phần Dược phẩm Euvipharm,Việt Nam
374,VD-9575-09,Toganin,40.743,Arginin hydroclorid,Arginin HCl,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên nang mềm,Công ty cổ phần dược phẩm Trường Thọ,Việt Nam
375,VN-12316-11,Arginine-Liqvo,40.743,Arginin hydroclorid,Arginine hydrochloride,1.01,Uống,"210,7mg/ml",Hộp 1 lọ 20ml,Liqvo,Armenia
376,VN-15579-12,Silyhepatis,40.743,Arginin hydroclorid,L-Arginine Hydrochloride,1.01,Uống,1000mg/ 5ml,Hộp 20 ống x 5ml,"Cho-A Pharm Co., Ltd.",Korea
377,VN-16018-12,Aldermis,40.743,Arginin hydroclorid,L-Arginin Hydrochloride,1.01,Uống,1000mg/5ml,Hộp 20 ống x 5ml,"Cho-A Pharm Co., Ltd.",Korea
378,VD-24128-16,A.T Arginin 800,40.743,Arginin hydroclorid,Arginin hydroclorid,1.01,Uống,800mg/10ml,"Hộp 20 ống, Hộp 30 ống, Hộp 50 ống nhựa x 10ml",Nhà máy sản xuất dược phẩm An Thiên,Việt Nam
379,VD-24723-16,A.T Arginin 1000,40.743,Arginin hydroclorid,Arginin hydroclorid,1.01,Uống,1000mg/10ml,"Hộp 20 ống, hộp 30 ống, hộp 50 ống x 10ml",Công ty Cổ phần Dược phẩm An Thiên,Việt Nam
380,VD-24724-16,A.T Arginin 400,40.743,Arginin hydroclorid,Arginin hydroclorid ,1.01,Uống,400mg/10ml,"Hộp 20 ống, hộp 30 ống, hộp 50 ống x 10ml",Công ty Cổ phần Dược phẩm An Thiên,Việt Nam
381,VD-25173-16,Ibaganin,40.743,Arginin hydroclorid,Arginin hydroclorid,1.01,Uống,1g/5ml,Hộp 30 ống x 5ml,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
382,VD-25622-16,A.T Arginin,40.743,"Arginin hydroclorid
",Arginin hydroclorid ,1.01,Uống,400mg,"Hộp 2 vỉ, hộp 3 vỉ, hộp 5 vỉ, hộp 10 vỉ x 10 viên. Hộp 1 chai 30 viên, hộp 1 chai 60 viên, hộp 1 chai 100 viên",Công ty Cổ phần Dược phẩm An Thiên,Việt Nam
383,VD-25623-16,A.T Arginin 200,40.743,"Arginin hydroclorid
",Arginin hydroclorid ,1.01,Uống,200 mg,"Hộp 2 vỉ, hộp 3 vỉ, hộp 5 vỉ, hộp 10 vỉ x 10 viên. Hộp 1 chai 30 viên, hộp 1 chai 60 viên, hộp 1 chai 100 viên",Công ty Cổ phần Dược phẩm An Thiên,Việt Nam
384,VD-25674-16,Arginin Euvipharm,40.743,"Arginin hydroclorid
",L - Arginin hydroclorid ,1.01,Uống,1000mg,Hộp 2 vỉ x 10 ống 5 ml,Công ty cổ phần Dược phẩm Euvipharm - Thành viên tập đoàn Valeant,Việt Nam
385,VD-25937-16,Targinos 400,40.743,"Arginin hydroclorid
",Arginin hydroclorid,1.01,Uống,400mg,Hộp 12 vỉ x 5 viên; Hộp 20 vỉ x 5 viên,Công ty liên doanh dược phẩm Mebiphar-Austrapharm,Việt Nam
386,VD-25960-16,Duvita,40.743,"Arginin hydroclorid
",Arginin hydroclorid (L-Arginin hydroclorid),1.01,Uống,1000mg,"Hộp 2 vỉ, hộp 4 vỉ, hộp 6 vỉ, hộp 8 vỉ x 5 ống x 8ml",Công ty cổ phần Dược phẩm CPC1 Hà Nội,Việt Nam
387,VD-26590-17,Euformin,40.743,"Arginin hydroclorid
",Arginin hydroclorid,1.01,Uống,200 mg,Hộp 10 vỉ x 10 viên,Công ty cổ phần Dược phẩm Euvipharm - Thành viên tập đoàn Valeant,Việt Nam
388,VD-26823-17,Ibaganin,40.743,"Arginin hydroclorid
",Arginin hydroclorid 200 mg,1.01,Uống,200 mg,Hộp 12 vỉ x 5 viên,Công ty cổ phần dược phẩm Hà Tây,Việt Nam
389,VD-27132-17,Toganin,40.743,"Arginin hydroclorid
",L-Arginine hydroclorid 200 mg,1.01,Uống,200 mg,Hộp 12 vỉ x 5 viên,Công ty cổ phần dược phẩm Trường Thọ,Việt Nam
390,VD-27589-17,Novoliver,40.743,"Arginin hydroclorid
",Arginin hydrochlorid (L-Arginin hydrochlorid) 500mg,,,500mg,"Hộp 1 vỉ x 15 viên, hộp 2 vỉ x 15 viên, hộp 4 vỉ x 15 viên, hộp 6 vỉ x 15 viên",Công ty cổ phần Dược phẩm CPC1 Hà Nội,Việt Nam
391,VD-27821-17,Bogamax,40.743,"Arginin hydroclorid
",Mỗi 1ml dung dịch chứa: L-Arginin L-aspartat 200 mg,1.01,Uống,200 mg,"Hộp 2 vỉ x 5 ống/vỉ x 10ml/ống, hộp 4 vỉ x 5 ống/vỉ x 10ml/ống, hộp 6 vỉ x 5 ống/vỉ x 10ml/ống, hộp 8 vỉ x 5 ống/vỉ x 10ml/ống. Hộp 2 vỉ x 5 ống/vỉ x 5ml/ống, hộp 4 vỉ x 5 ống/vỉ x 5ml/ống, hộp 6 vỉ x 5 ống/vỉ x 5ml/ống, hộp 8 vỉ x 5 ống/vỉ x 5ml/ống",Công ty cổ phần Dược phẩm CPC1 Hà Nội,Việt Nam
392,VD-27823-17,Duvita 2g,40.743,"Arginin hydroclorid
",Mỗi ống 10 ml dung dịch chứa: Arginin hydroclorid (L-Arginin hydroclorid) 2000 mg,1.01,Uống,2000 mg,"Hộp 5 ống nhựa x 10 ml, hộp 10 ống nhựa x 10 ml, hộp 20 ống nhựa x 10 ml, hộp 50 ống nhựa x 10 ml",Công ty cổ phần Dược phẩm CPC1 Hà Nội,Việt Nam
393,VD-28210-17,Saranin,40.743,"Arginin hydroclorid
",L-Arginin HCl 200mg,1.01,Uống,200mg,Hộp 12 vỉ x 5 viên,Công ty cổ phần dược vật tư y tế Hải Dương,Việt Nam
394,VD-28609-17,Colonic,40.743,"Arginin hydroclorid
",Mỗi 5ml dung dịch chứa: Arginin hydroclorid 1000mg,1.01,Uống,1000mg,Hộp 10 ống 5ml; Hộp 20 ống 5ml; Hộp 10 ống 10ml; Hộp 20 ống; Hộp 10 ống 10ml,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
395,VN-12681-11,Amiphargen,40.745,Glycyrrhizin + Glycin + L- Cystein,"Glycyrrhizinate monoammonium, Glycin, L-cystein.HCl.H2O",2.10,Tiêm,"2,65mg; 20mg; 1,115mg",Hộp 5 ống x 20ml,"Taiwan Biotech Co., Ltd.",Taiwan
396,QLĐB-603-17,Livgan Inj 10 ml,40.745,"Glycyrrhizin + Glycin + L- Cystein
","Mỗi ống 10ml chứa: Glycyrrhizin (dưới dạng Monoammonium glycyrrhizat 26,5mg) 20mg; Glycin 200mg; L-Cystein HCl (dưới dạng L-Cystein hydrochlorid monohydrat 11,15mg) 10mg",2.04,Tiêm tĩnh mạch,"20mg, 200mg, 10mg","Hộp 5 ống x 10ml, hộp 10 ống x 10ml",Công ty cổ phần dược-vật tư y tế Thanh Hoá,Việt Nam
397,QLĐB-604-17,Livgan Inj 20 ml,40.745,"Glycyrrhizin + Glycin + L- Cystein
","Mỗi ống 20ml chứa: Glycyrrhizin (dưới dạng monoammonium glycyrrhizat 53,0mg) 40mg; Glycin 400mg; L-Cystein HCl (dưới dạng L-Cystein hydrochlorid monohydrat 22,28mg) 20mg",2.04,Tiêm tĩnh mạch,"40mg, 400mg, 20mg","Hộp 10 ống x 20ml, hộp 20 ống x 20ml",Công ty cổ phần dược-vật tư y tế Thanh Hoá,Việt Nam
398,QLĐB-605-17,Livgan Inj 5 ml,40.745,"Glycyrrhizin + Glycin + L- Cystein
","Mỗi ống 5ml chứa: Glycyrrhizin (dưới dạng monoammonium glycyrrhizat 13,25mg) 10mg; Glycin 100mg; L-Cystein HCl (dưới dạng L-Cystein hydrochlorid monohydrat 5,57mg) 5mg",2.04,Tiêm tĩnh mạch,"10mg, 100mg, 5mg","Hộp 10 ống x 5ml, hộp 20 ống x 5ml",Công ty cổ phần dược-vật tư y tế Thanh Hoá,Việt Nam
399,VD-27824-17,Hepaphagen-BFS,40.745,"Glycyrrhizin + Glycin + L- Cystein
",Mỗi lọ 5ml dung dịch chứa: Glycyrrhizin (dưới dạng Glycyrrhizinate ammonium) 10 mg; Glycin 100 mg; L-cystein hydrochlorid (dưới dạng L-cystein hydrochlorid monohydrat) 5 mg,2.04,Tiêm tĩnh mạch,"10 mg, 100 mg, 5 mg","Hộp 10 lọ nhựa x 5ml, hộp 20 lọ nhựa x 5 ml, hộp 50 lọ nhựa x 5ml.",Công ty cổ phần Dược phẩm CPC1 Hà Nội,Việt Nam
400,VD-28093-17,Smaxlatin - 10,40.745,"Glycyrrhizin + Glycin + L- Cystein
",Mỗi ống 10ml chứa: Glycyrrhizin (dưới dạng Glycyrrhizinate monoammonium) 20 mg; Glycine 200 mg; L - Cysteine HCl (dưới dạng L - cysteine HCl.2 H2O) 10 mg,2.04; 2.14,Tiêm tĩnh mạch; Truyền tĩnh mạch,"20 mg, 200 mg, 10 mg",Hộp 2 vỉ x 5 ống x 10 ml.,Công ty cổ phần dược phẩm Trung ương 1 - Pharbaco.,Việt Nam
401,VD-28094-17,Smaxlatin - 60,40.745,"Glycyrrhizin + Glycin + L- Cystein
",Mỗi lọ 60ml dung dịch chứa: Glycyrrhizin (dưới dạng Glycyrrhizinate monoammonium) 120 mg; Glycine 1200 mg; L - Cysteine HCl (dưới dạng L - cysteine HCl.2 H2O) 60 mg,2.04; 2.14,Tiêm tĩnh mạch; Truyền tĩnh mạch,"120 mg, 1200 mg, 60 mg",Hộp1 lọ x 60 ml,Công ty cổ phần dược phẩm Trung ương 1 - Pharbaco.,Việt Nam
402,VD-18539-13,Mibeonate,40.759,"Betamethason
(dipropionat, valerat)",Betamethason dipropionat,3.05,Dùng ngoài,"0,064%",Hộp 1 tuýp x 10g,Công ty TNHH liên doanh Hasan-Dermapharm,Việt Nam
403,VD-10687-10,Tratrison,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Clotrimazol, Betamethason dipropionat, Gentamicin",3.05,Dùng ngoài,"100mg; 6,4mg; 10mg",Hộp 1 tuýp 10g kem bôi da,Công ty cổ phần TRAPHACO,Việt Nam
404,VD-10902-10,Gametrisone,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Gentamycin sulfat; Clotrimazol,3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",Hộp 1 tuýp x 10g kem bôI da,Công ty cổ phần dược  phẩm Nam Hà,Việt Nam
405,VD-11799-10,Sihiron,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Clotrimazol, gentamicin",3.05,Dùng ngoài,64mg; 1g; 100mg,Hộp 1 tuýp 10g kem bôi da,Công ty cổ phần dược và vật tư y tế Bình Thuận,Việt Nam
406,VD-12039-10,Sironmax,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason 0,05g dưới dạng Betamethason dipropionat, Clotrimazol 1g, Gentamicin 0,1g dưới dạng Gentamicin sulfat",3.05,Dùng ngoài,"0,05g; 1g; 0,1g","Hộp 1 tuýp 5g, 10g thuốc kem dùng ngoài",Công ty TNHH sản xuất thương mại dược phẩm NIC (NIC Pharma),Việt Nam
407,VD-12207-10,Bisilkon,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Clotrimazol; Betamethasone dipropionat; Gentamicin sulphat tương đương 10mg Gentamicin base,3.05,Dùng ngoài,"100mg; 6,4 mg; 10 mg","Hộp 1 tuýp x 10g, kem bôi ngoài da",Công ty cổ phần dược phẩm Bidiphar 1,Việt Nam
408,VD-12922-10,Gensonmax,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Gentamycin base, Clotrimazol",3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",hộp 1 tuýp 10 gam kem bôi da,Công ty cổ phần dược phẩm Quảng Bình,Việt Nam
409,VD-13672-10,Stcotien,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat 10mg, Gentamicin sulfat tương ứng 10mg Gentamicin, Clotrimazol 100mg",3.05,Dùng ngoài,10mg; 10mg; 100mg,hộp 1 tuýp x 10 gam kem bôi da,Công ty TNHH Dược phẩm Shinpoong Daewoo,Việt Nam
410,VD-13677-10,Gendesoul,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Gentamicin sulfat, Clotrimazol",3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",hộp 1 tuýp 10 gam kem bôi da,Công ty TNHH Phil Inter Pharma,Việt Nam
411,VD-13834-11,Silcream,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Clotrimazol, Gentamycin sulfat",3.05,Dùng ngoài,"0,05%; 1,0%; 0,1%","Hộp 1 tuýp x 10g, hộp 1 tuýp x 30g kem bôi da",Công ty cổ phần Dược phẩm OPV,Việt Nam
412,VD-13930-11,Codugenson,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Gentamycin base, Clotrimazol",3.05,Dùng ngoài,"6,4mg; 10mg; 100mg","hộp 1 tuýp 10 gam, hộp 1 túy 20 gam kem bôi da",Công ty cổ phần dược TW Medipharco - Tenamyd,Việt Nam
413,VD-15322-11,Gensilron,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Gentamycin sulfat; Clotrimazol,3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",Hộp 1 tuýp nhựa 10g kem bôi da,Công ty cổ phần Dược  S. Pharm,Việt Nam
414,VD-15421-11,Nidason G,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason, Clotrimazol, Gentamicin",3.05,Dùng ngoài,"0,05%; 1%; 0,1%","Hộp 1 tuýp x10g, hộp 1 tuýp x 30g kem bôi da",Công ty cổ phần Dược phẩm OPV,Việt Nam
415,VD-15937-11,Genfredrem,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Gentamicin sulfat, Clotrimazol",3.05,Dùng ngoài,"6,4mg;  100mg",hộp 1 tuýp 10 gam kem bôi da,Công ty TNHH Phil Inter Pharma,Việt Nam
416,VD-19219-13,Silkeroncreme,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin sulfat,3.05,Dùng ngoài,"6,4mg; 100mg; 10mg",hộp  1 tuýp 10 gam,Công ty TNHH Phil Inter Pharma,Việt Nam
417,VD-19588-13,Siurkon,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Clotrimazol; Betamethason dipropionat; Gentamicin (dưới dạng Gentamicin sulfat),3.05,Dùng ngoài,"100mg; 6,4mg; 10mg",hộp 1 tuýp 10 gam,Công ty cổ phần LD dược phẩm Medipharco-Tenamyd BR s.r.l,Việt Nam
418,VD-19786-13,Genmyson,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamycin sulfat,3.05,Dùng ngoài,"6,4 mg/10g; 100 mg/10g; 10.000 IU/10g",Hộp 1 tuýp 10g,Công ty Cổ phần Thương mại Dược phẩm Quang Minh,Việt Nam
419,VD-20089-13,Philderma,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin sulfat,3.05,Dùng ngoài,"6,4mg; 100mg;  10mg",hôp 1 tuýp 10 gam,Công ty TNHH Phil Inter Pharma,Việt Nam
420,VD-20117-13,Dipolac G,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Gentamicin (dưới dạng Gentamicin sulfat); Clotrimazol,3.05,Dùng ngoài,"9,6 mg/15g; 15 mg/15g; 150 mg/15g",Hộp 1 tuýp x 15 g,Công ty cổ phần dược phẩm Ampharco U.S.A,Việt Nam
421,VD-20710-14,Glokort,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason (dưới dạng Betamethason dipropionat); Gentamycin (dưới dạng Gentamycin sulfat); Clotrimazol,3.05,Dùng ngoài,"0,64 mg/1g; 1 mg/ 1g; 10 mg/1g",Hộp 1 tuýp x 10g,Công ty cổ phần dược phẩm Glomed,Việt Nam
422,VD-21157-14,Philvolte,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Clotrimazol; Betamethason dipropionat; Gentamicin sulfat,3.05,Dùng ngoài,"100mg; 6,4mg;  10mg","Hộp 1 tuýp 10 gam, 20 gam",Công ty TNHH Phil Inter Pharma,Việt Nam
423,VD-21761-14,Shinpoong Gentri-sone,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin (dưới dạng gentamicin sulfat),3.05,Dùng ngoài,"6,4mg; 100mg;  10mg","Hộp 1 tuýp 10 gam, 20 gam",Công ty TNHH Dược phẩm Shinpoong Daewoo,Việt Nam
424,VD-21887-14,Tithigelron,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Clotrimazol; Gentamicin sulfat; Betamethason dipropionat,3.05,Dùng ngoài,"0,1g; 10.000IU; 0,0064g",Hộp 1 tuýp 10 gam,Công ty cổ phần dược phẩm Quảng Bình,Việt Nam
425,VD-21968-14,Maxgel,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Gentamycin (dưới dạng gentamycin sulfat); clotrimazol,3.05,Dùng ngoài,"6,4mg/10g; 10mg/10g; 100mg/10g",Hộp 1 tuýp 10g,Công ty cổ phần SPM,Việt Nam
426,VD-22252-15,Genmedon,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin (dưới dạng gentamicin sulfat),3.05,Dùng ngoài,"6,4mg; 100mg;  10mg",Hộp 1 tuýp 10 gam,Công ty cổ phần dược TW Mediplantex,Việt nam
427,VD-22641-15,Skinz,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Clotrimazol; Betamethason dipropionat; Gentamicin (dưới dạng gentamicin sulfat)  ,3.05,Dùng ngoài,"100mg; 6,4mg; 10.000IU",Hộp 1 tuýp 10g,Công ty Roussel Việt Nam,Việt Nam
428,VD-23363-15,Stadgentri,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Gentamicin (dưới dạng Gentamycin sulphat); Clotrimazol,3.05,Dùng ngoài,"6,4mg; 10mg; 100mg","Hộp 1 tuýp 10g, hộp 1 tuýp 20g",Công ty TNHH LD Stada-Việt Nam.,Việt Nam
429,VD-23390-15,Philgenta,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Gentamicin sulfat; Clotrimazol,3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",Hộp 1 tuýp 10 gam,Công ty TNHH Phil Inter Pharma,Việt Nam
430,VD-23893-15,Tratrison,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Clotrimazol                              
Betamethason dipropionat, 
Gentamicin
",3.05,Dùng ngoài,"100mg; 6,4mg; 10mg",Hộp 1 tuýp 10g kem bôi da,Công ty cổ phần TRAPHACO,Việt Nam
431,VD-5895-08,Caditrigel,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionate, Clotrimazol, Gentamycin",3.05,Dùng ngoài,"0,64mg; 10mg; 1mg",Hộp 1 tuýp 10g kem bôi ngoài da,Công ty TNHH US pharma USA,Việt Nam
432,VD-5960-08,Glokort,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason, Gentamicin, Clotrimazol",3.05,Dùng ngoài,5mg; 10mg; 100mg,Hộp 1 tuýp x 10g kem bôi da,Công ty cổ phần dược phẩm Toàn Cầu,Việt Nam
433,VD-6076-08,Gentizone,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin sulfat,3.05,Dùng ngoài,"6,4mg; 100mg; 10mg",Hộp 1tuýp 10 g kem bôi ngoài da,Công ty liên doanh BV Pharma,Việt Nam
434,VD-6375-08,Amtex Gentree - Sone,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin sulfat,3.05,Dùng ngoài,"6,4mg; 100mg; 10mg",hộp 1 ống x 10 gam kem bôi da,Công ty cổ phần dược TW Medipharco - Tenamyd,Việt Nam
435,VD-7142-09,Philgenta,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin sulfat,3.05,Dùng ngoài,"6,4mg; 100mg; 10mg",hộp 1 tuýp 10 gam kem bôi da,Công ty TNHH Phil Inter Pharma,Việt Nam
436,VD-7341-09,Maxgel,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Gentamycin dưới dạng muối sulfat, betamethason dỉpropionat, clotrimazol",3.05,Dùng ngoài,"10mg; 6,4mg; 0,1g",Hộp 1 tuýp 10g kem bôi ngoài da,Công ty cổ phần SPM,Việt Nam
437,VD-7709-09,Clocaten,40.760,Clotrimazole + Betamethason +  gentamicin,"Clotrimazole; betamethasone dipropionate tương đương betamethasone 2,5mg; gentamicin sulphate tương đương gentamicin base 5mg",3.05,Dùng ngoài,"50mg; 2,5mg; 5mg",Hộp 1 tuýp 5g kem bôi da,Công ty cổ phần hoá dược phẩm Mekophar,Việt Nam
438,VD-7765-09,Stadgentri,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,Betamethason dipropionat; Clotrimazol; Gentamicin sulfat,3.05,Dùng ngoài,"6,4mg; 100mg; 10mg",hộp 1 tuýp x 10 gam kem bôi da,Công ty LD TNHH Stada - Việt Nam,Việt Nam
439,VD-7971-09,Dermagen,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Gentamycin base, Clotrimazol",3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",Hộp 1 tuýp x 10g kem bôi da,Công ty cổ phần dược phẩm Hà Tây.,Việt Nam
440,VD-8112-09,Sikemeron,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Clotrimazol, Betamethason dipropionat, Gentamicin sulfat",3.05,Dùng ngoài,"100mg; 6,4 mg; 10 mg",Hộp 1 tuýp 10g kem bôi da,Công ty cổ phần dược phẩm trung ương Vidipha,Việt Nam
441,VD-8622-09,Sitrizol,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Clotrimazol, Betamethason dipropionat, Gentamycin sulfat",3.05,Dùng ngoài,"100mg; 6,4 mg; 10 mg",hộp 1 tuýp x 10 gam kem bôi da,Công ty cổ phần Dược phẩm Euvipharm,Việt Nam
442,VD-8659-09,Tribetason,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethason dipropionat, Gentamycin base, Clotrimazol",3.05,Dùng ngoài,"6,4mg; 10mg; 100mg",Hộp 1 tuýp x 10 g kem bôi da,Công ty cổ phần dược phẩm Hà Tây.,Việt Nam
443,VD-9804-09,Locron,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethasone dipropionte, Gentamycin sulfat, Clotrimazol",3.05,Dùng ngoài,"0,64mg; 1,00 mg; 10,00 mg",Hộp 1 tuýp 10 gam kem bôi ngoài da,Công ty TNHH dược phẩm Detapham,Việt Nam
444,VN-10151-10,Bcgyash cream,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethasone Dipropionate, Clotrimazole, Gentamycin sulfate",3.05,Dùng ngoài,"0,64mg; 10mg; 1mg",Hộp 1 tuýp 15g,"Yash Medicare Pvt., Ltd",India
445,VN-10787-10,Boraderm,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethasone Dipropionate, Clotrimazole, Gentamycin sulfate",3.05,Dùng ngoài,"0,64mg; 10mg; 1mg/g",Hộp 1 tuýp 10g,"Boram Pharm. Co., Ltd.",Korea
446,VN-10791-10,Ladorvane Cream,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethasone Dipropionate, Clotrimazole, Gentamycin sulfate",3.05,Dùng ngoài,"0,64mg; 10mg; 1mg",Hộp 1 tuýp 15g,"Chunggei Pharm Co., Ltd.",Korea
447,VN-11343-10,Cotiderm Plus cream,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethasone Dipropionate, Clotrimazole, Gentamycin sulfate",3.05,Dùng ngoài,"6,4mg; 100mg; 10mg",Hộp 1 ống x 10g kem,Synmedic Laboratories,India
448,VN-11487-10,Gelebetacloge Cream,40.760,Betamethason dipropionat + clotrimazol +  gentamicin,"Betamethasone Dipropionate, Clotrimazole, Gentamycin sulfate",3.05,Dùng ngoài,"0,64mg; 10mg; 1mg",Hộp 1 tuýp 15g,"Chunggei Pharm Co., Ltd.",Korea
